#Archive/File	Name	Time	Size	Type
Archive	GSE130408_RAW.tar	06/17/2020 19:31:20	52613652480	TAR
File	GSM4569829_AR_NKI_1_N.bw	05/14/2020 20:45:00	224299347	BW
File	GSM4569830_AR_NKI_7_N.bw	05/14/2020 20:45:02	223728373	BW
File	GSM4569831_AR_NKI_13_N.bw	05/14/2020 20:45:04	191034061	BW
File	GSM4569832_AR_NKI_19_N.bw	05/14/2020 20:45:09	206721142	BW
File	GSM4569833_AR_NKI_25_N.bw	05/14/2020 20:45:10	232853376	BW
File	GSM4569834_AR_NKI_27_N.bw	05/14/2020 20:45:15	165666735	BW
File	GSM4569835_AR_DF_1239_T.bw	05/14/2020 20:45:20	156568868	BW
File	GSM4569836_AR_DF_1636_T.bw	05/14/2020 20:45:25	302977052	BW
File	GSM4569837_AR_DF_1730_T.bw	05/14/2020 20:45:34	410354640	BW
File	GSM4569838_AR_DF_1798_T.bw	05/14/2020 20:45:45	391847423	BW
File	GSM4569839_AR_DF_1816_T.bw	05/14/2020 20:45:57	443208463	BW
File	GSM4569840_AR_DF_1853_T.bw	05/14/2020 20:46:08	343165801	BW
File	GSM4569841_AR_DF_1592_T.bw	05/14/2020 20:46:12	426731342	BW
File	GSM4569842_AR_DF_2752_T.bw	05/14/2020 20:46:17	677946660	BW
File	GSM4569843_AR_DF_2815_T.bw	05/14/2020 20:46:21	282139940	BW
File	GSM4569844_AR_DF_4024_T.bw	05/14/2020 20:46:23	334426106	BW
File	GSM4569845_AR_NKI_1_T.bw	05/14/2020 20:46:26	289206041	BW
File	GSM4569846_AR_NKI_5_T.bw	05/14/2020 20:46:28	170397130	BW
File	GSM4569847_AR_NKI_7_T.bw	05/14/2020 20:46:29	203534647	BW
File	GSM4569848_AR_NKI_13_T.bw	05/14/2020 20:46:31	194225721	BW
File	GSM4569849_AR_NKI_19_T.bw	05/14/2020 20:46:32	185377948	BW
File	GSM4569850_AR_NKI_23_T.bw	05/14/2020 20:46:32	197941071	BW
File	GSM4569851_AR_NKI_27_T.bw	05/14/2020 20:46:33	155200234	BW
File	GSM4569852_AR_NKI_29_T.bw	05/14/2020 20:46:34	207624432	BW
File	GSM4569853_AR_UW_PDX_35.bw	05/14/2020 20:46:34	171432758	BW
File	GSM4569854_AR_UW_PDX_70.bw	05/14/2020 20:46:35	147222433	BW
File	GSM4569855_AR_UW_PDX_77.bw	05/14/2020 20:46:36	135905654	BW
File	GSM4569856_AR_UW_PDX_58.bw	05/14/2020 20:46:36	145242031	BW
File	GSM4569857_AR_UW_PDX_78.bw	05/14/2020 20:46:37	74534249	BW
File	GSM4569858_AR_UW_PDX_81.bw	05/14/2020 20:46:37	118720873	BW
File	GSM4569859_AR_UW_PDX_86-2.bw	05/14/2020 20:46:39	150617043	BW
File	GSM4569860_AR_UW_PDX_92.bw	05/14/2020 20:46:40	154170455	BW
File	GSM4569861_AR_UW_PDX_136.bw	05/14/2020 20:46:42	151895273	BW
File	GSM4569862_AR_UW_PDX_141.bw	05/14/2020 20:46:42	135884587	BW
File	GSM4569863_AR_UW_PDX_167.bw	05/14/2020 20:46:43	138924958	BW
File	GSM4569864_AR_UW_PDX_170-2.bw	05/14/2020 20:46:44	141922829	BW
File	GSM4569865_AR_UW_PDX_170-3.bw	05/14/2020 20:46:45	137556195	BW
File	GSM4569866_AR_UW_PDX_189-3.bw	05/14/2020 20:46:46	142906837	BW
File	GSM4569867_AR_UW_PDX_189-4.bw	05/14/2020 20:46:46	151599052	BW
File	GSM4569868_FOXA1_DF_2078_N.bw	05/14/2020 20:46:48	112917063	BW
File	GSM4569869_FOXA1_DF_2480_N.bw	05/14/2020 20:46:51	281003711	BW
File	GSM4569870_FOXA1_DF_2483_N.bw	05/14/2020 20:46:56	489784830	BW
File	GSM4569871_FOXA1_DF_2484_N.bw	05/14/2020 20:47:02	384793629	BW
File	GSM4569872_FOXA1_DF_2030_N.bw	05/14/2020 20:47:07	232345279	BW
File	GSM4569873_FOXA1_NKI_1_N.bw	05/14/2020 20:47:07	209753584	BW
File	GSM4569874_FOXA1_NKI_5_N.bw	05/14/2020 20:47:09	255786423	BW
File	GSM4569875_FOXA1_NKI_7_N.bw	05/14/2020 20:47:10	223319323	BW
File	GSM4569876_FOXA1_NKI_13_N.bw	05/14/2020 20:47:13	211054438	BW
File	GSM4569877_FOXA1_NKI_19_N.bw	05/14/2020 20:47:16	237685837	BW
