#Archive/File	Name	Time	Size	Type
Archive	GSE94278_RAW.tar	08/25/2017 09:42:47	16659476480	TAR
File	GSM2472037_MSC3.EWSFLI1.ATACseq.bw	01/22/2017 21:45:15	472941289	BW
File	GSM2472038_MSC3.SYGQ2.FLI1.ATACseq.bw	01/22/2017 21:45:18	487587543	BW
File	GSM2472039_MSC3.control.ATACseq.bw	01/22/2017 21:45:21	465265476	BW
File	GSM2472040_MSC4.BAF47FLI1.ATACseq.bw	01/22/2017 21:45:23	464463172	BW
File	GSM2472041_MSC2.control.ATACseq.bw	01/22/2017 21:45:26	438429473	BW
File	GSM2472042_MSC2.EWSFLI1.ATACseq.bw	01/22/2017 21:45:29	361637683	BW
File	GSM2472043_MSC4.EWSFLI1.ATACseq.bw	01/22/2017 21:45:31	342159533	BW
File	GSM2472044_MSC2.EWS.YS37.FLI1.ATACseq.bw	01/22/2017 21:45:34	444819365	BW
File	GSM2472045_MSC4.control.ATACseq.bw	01/22/2017 21:45:38	470549391	BW
File	GSM2472046_MSC1.BAF47FLI1.ATACseq.bw	01/22/2017 21:45:41	468231906	BW
File	GSM2472047_MSC1.control.ATACseq.bw	01/22/2017 21:45:43	429575346	BW
File	GSM2472048_MSC1.EWSFLI1.ATACseq.bw	01/22/2017 21:45:46	409487883	BW
File	GSM2472049_MSC1.FLI1.ATACseq.bw	01/22/2017 21:45:48	414306135	BW
File	GSM2472081_A673.GFP.HA.bw	01/22/2017 21:42:35	260729875	BW
File	GSM2472082_A673.HA.EWSR1.HA.bw	01/22/2017 21:42:44	268118786	BW
File	GSM2472083_MSC1.control.BAF155.bw	01/22/2017 21:42:52	268493216	BW
File	GSM2472084_MSC1.control.FLI1.bw	01/22/2017 21:42:53	216972285	BW
File	GSM2472085_MSC1.control.H3K27ac.bw	01/22/2017 21:42:55	159230731	BW
File	GSM2472086_MSC1.control.INPUT.bw	01/22/2017 21:42:57	486324825	BW
File	GSM2472087_MSC1.EWSFLI1.BAF155.bw	01/22/2017 21:43:00	256340514	BW
File	GSM2472088_MSC1.EWSFLI1.FLI1.bw	01/22/2017 21:43:01	196287891	BW
File	GSM2472089_MSC1.EWSFLI1.H3K27ac.bw	01/22/2017 21:43:03	165517642	BW
File	GSM2472090_MSC1.EWSFLI1.INPUT.bw	01/22/2017 21:43:05	524009934	BW
File	GSM2472091_MSC1.FLI1.BAF155.bw	01/22/2017 21:43:07	232288656	BW
File	GSM2472092_MSC1.FLI1.FLI1.bw	01/22/2017 21:43:09	202051171	BW
File	GSM2472093_MSC1.FLI1.H3K27ac.bw	01/22/2017 21:43:10	160010936	BW
File	GSM2472094_MSC1.FLI1.INPUT.bw	01/22/2017 21:43:12	471576452	BW
File	GSM2472095_MSC2.control.BAF155.bw	01/22/2017 21:43:15	275324715	BW
File	GSM2472096_MSC2.control.FLI1.bw	01/22/2017 21:43:16	139268741	BW
File	GSM2472097_MSC2.control.H3K27ac.bw	01/22/2017 21:43:18	58521521	BW
File	GSM2472098_MSC2.EWS.YS37.FLI1.BAF155.bw	01/22/2017 21:43:19	171889995	BW
File	GSM2472099_MSC2.EWS.YS37.FLI1.FLI1.bw	01/22/2017 21:43:21	259021755	BW
File	GSM2472100_MSC2.EWS.YS37.FLI1.H3K27ac.bw	01/22/2017 21:43:22	121845399	BW
File	GSM2472101_MSC2.EWSFLI1.BAF155.bw	01/22/2017 21:43:24	241065383	BW
File	GSM2472102_MSC2.EWSFLI1.FLI1.bw	01/22/2017 21:43:25	96358968	BW
File	GSM2472103_MSC2.EWSFLI1.H3K27ac.bw	01/22/2017 21:43:26	78800809	BW
File	GSM2472104_MSC3.control.BAF155.bw	01/22/2017 21:43:28	272134508	BW
File	GSM2472105_MSC3.control.FLI1.bw	01/22/2017 21:43:29	156655989	BW
File	GSM2472106_MSC3.control.H3K27ac.bw	01/22/2017 21:43:31	203466445	BW
File	GSM2472107_MSC3.EWSFLI1.BAF155.bw	01/22/2017 21:43:34	295773198	BW
File	GSM2472108_MSC3.EWSFLI1.FLI1.bw	01/22/2017 21:43:35	168416080	BW
File	GSM2472109_MSC3.EWSFLI1.H3K27ac.bw	01/22/2017 21:43:36	193007156	BW
File	GSM2472110_MSC3.SYGQ2.FLI1.BAF155.bw	01/22/2017 21:43:39	325497396	BW
File	GSM2472111_MSC3.SYGQ2.FLI1.FLI1.bw	01/22/2017 21:43:41	246300857	BW
File	GSM2472112_MSC3.SYGQ2.FLI1.H3K27ac.bw	01/22/2017 21:43:42	163129474	BW
File	GSM2472113_MSC4.BAF47FLI1.FLI1.bw	01/22/2017 21:43:43	203315294	BW
File	GSM2472114_MSC4.BAF47FLI1.H3K27ac.bw	01/22/2017 21:43:45	151300308	BW
File	GSM2472115_MSC4.BAF47FLI1.INPUT.bw	01/22/2017 21:43:46	422973704	BW
File	GSM2472116_MSC4.control.FLI1.bw	01/22/2017 21:43:48	121152592	BW
File	GSM2472117_MSC4.control.H3K27ac.bw	01/22/2017 21:43:49	186924947	BW
File	GSM2472118_MSC4.control.INPUT.bw	01/22/2017 21:43:54	438721229	BW
File	GSM2472119_SK.shEWSFLI1.SMARCA2.bw	01/22/2017 21:43:56	394015740	BW
File	GSM2472120_SK.shGFP.SMARCA2.bw	01/22/2017 21:44:07	292278887	BW
File	GSM2472121_SKNMC.BAF155.bw	01/22/2017 21:44:20	500714079	BW
File	GSM2472122_SKNMC.shEWSFLI1.BAF155.bw	01/22/2017 21:44:38	445160624	BW
File	GSM2472123_SKNMC.shGFP.BAF155.bw	01/22/2017 21:44:56	498981029	BW
