#Archive/File	Name	Time	Size	Type
Archive	GSE124228_RAW.tar	11/15/2019 18:03:31	12232488960	TAR
File	GSM3525976_Sample_DMSO_sg12_Control_1.bw	12/18/2018 16:46:48	342675949	BW
File	GSM3525977_Sample_DMSO_sg12_Control_2.bw	12/18/2018 16:44:54	456007555	BW
File	GSM3525978_Sample_DMSO_sg13_Control_1.bw	12/18/2018 16:45:05	250158361	BW
File	GSM3525979_Sample_DMSO_sg13_Control_2.bw	12/18/2018 16:44:51	257784654	BW
File	GSM3525980_Sample_DMSO_sg1_KO_1.bw	12/18/2018 16:44:25	162113714	BW
File	GSM3525981_Sample_DMSO_sg1_KO_2.bw	12/18/2018 16:45:11	172503888	BW
File	GSM3525982_Sample_DMSO_sg2_KO_1.bw	12/18/2018 16:43:20	194671815	BW
File	GSM3525983_Sample_DMSO_sg2_KO_2.bw	12/18/2018 16:46:20	233406053	BW
File	GSM3525984_Sample_DMSO_sg6_KO_1.bw	12/18/2018 16:42:47	231716759	BW
File	GSM3525985_Sample_DMSO_sg6_KO_2.bw	12/18/2018 16:43:40	294828943	BW
File	GSM3525986_Sample_FULV_sg12_Control_1.bw	12/18/2018 16:45:52	277432865	BW
File	GSM3525987_Sample_FULV_sg12_Control_2.bw	12/18/2018 16:46:35	474080506	BW
File	GSM3525988_Sample_FULV_sg13_Control_1.bw	12/18/2018 16:46:20	315917318	BW
File	GSM3525989_Sample_FULV_sg13_Control_2.bw	12/18/2018 16:44:09	291750803	BW
File	GSM3525990_Sample_FULV_sg1_KO_1.bw	12/18/2018 16:42:17	184466440	BW
File	GSM3525991_Sample_FULV_sg1_KO_2.bw	12/18/2018 16:46:26	263762867	BW
File	GSM3525992_Sample_FULV_sg2_KO_1.bw	12/18/2018 16:46:00	150759675	BW
File	GSM3525993_Sample_FULV_sg2_KO_2.bw	12/18/2018 16:45:42	295766583	BW
File	GSM3525994_Sample_FULV_sg6_KO_1.bw	12/18/2018 16:44:54	208899495	BW
File	GSM3525995_Sample_FULV_sg6_KO_2.bw	12/18/2018 16:45:33	238580937	BW
File	GSM3525996_Sample_DMSO_MCF7_Control_BAF155.bw	12/18/2018 16:28:23	179571427	BW
File	GSM3525997_Sample_DMSO_MCF7_Control_BRG.bw	12/18/2018 16:29:29	231961613	BW
File	GSM3525999_Sample_DMSO_MCF7_KO_BAF155.bw	12/18/2018 16:26:28	223583582	BW
File	GSM3526000_Sample_DMSO_MCF7_KO_BRG.bw	12/18/2018 16:27:03	211160797	BW
File	GSM3526002_Sample_DMSO_sg12_Control_ER_1.bw	12/18/2018 16:29:10	317334710	BW
File	GSM3526003_Sample_DMSO_sg12_Control_ER_2.bw	12/18/2018 16:29:54	317453716	BW
File	GSM3526004_Sample_DMSO_sg1_KO_ER_1.bw	12/18/2018 16:29:02	342890916	BW
File	GSM3526005_Sample_DMSO_sg1_KO_ER_2.bw	12/18/2018 16:27:42	332831221	BW
File	GSM3526006_Sample_DMSO_sg2_KO_ER_1.bw	12/18/2018 16:27:54	304116854	BW
File	GSM3526007_Sample_DMSO_sg2_KO_ER_2.bw	12/18/2018 16:29:04	333645224	BW
File	GSM3526008_Sample_DMSO_sg12_Control_H3K27ac_1.bw	12/18/2018 16:24:56	208165443	BW
File	GSM3526009_Sample_DMSO_sg12_Control_H3K27ac_2.bw	12/18/2018 16:30:18	265675371	BW
File	GSM3526010_Sample_DMSO_sg1_KO_H3K27ac_1.bw	12/18/2018 16:23:58	300400395	BW
File	GSM3526011_Sample_DMSO_sg1_KO_H3K27ac_2.bw	12/18/2018 16:24:36	242202250	BW
File	GSM3526012_Sample_DMSO_sg2_KO_H3K27ac_1.bw	12/18/2018 16:26:09	262111114	BW
File	GSM3526013_Sample_DMSO_sg2_KO_H3K27ac_2.bw	12/18/2018 16:25:50	258193563	BW
File	GSM4156306_Sample_DMSO_CR_Control_BAF155_1.bw	11/07/2019 19:31:13	223388124	BW
File	GSM4156307_Sample_DMSO_CR_Control_BRG1_1.bw	11/07/2019 19:31:55	252198928	BW
File	GSM4156309_Sample_DMSO_CR_KO_BAF155_1.bw	11/07/2019 19:32:29	215084871	BW
File	GSM4156310_Sample_DMSO_CR_KO_BRG1_1.bw	11/07/2019 19:33:18	300278831	BW
File	GSM4156313_Sample_DMSO_ET_Control_FOXA1_1.bw	11/07/2019 19:34:01	250666639	BW
File	GSM4156314_Sample_DMSO_ET_Control_FOXA1_2.bw	11/07/2019 19:34:42	244878633	BW
File	GSM4156315_Sample_DMSO_ET_Control_GRHL1Ab1_1.bw	11/07/2019 19:35:37	332506094	BW
File	GSM4156318_Sample_DMSO_ET_KO_FOXA1_1.bw	11/07/2019 19:36:24	295213951	BW
File	GSM4156319_Sample_DMSO_ET_KO_FOXA1_2.bw	11/07/2019 19:37:06	260353822	BW
File	GSM4156320_Sample_DMSO_ET_KO_GRHL1Ab1_1.bw	11/07/2019 19:37:44	229292199	BW
