#Archive/File	Name	Time	Size	Type
Archive	GSE102803_RAW.tar	08/14/2018 10:59:17	1346365440	TAR
File	GSM2746607_786_control_ARID2_SICER_peaks.wig.gz	08/18/2017 08:45:17	840112	WIG
File	GSM2746607_786_control_ARID2_treat_pileup_output.bw	08/14/2017 11:54:09	138504780	BW
File	GSM2746608_786_sh1_ARID2_SICER_peaks.wig.gz	08/18/2017 08:45:17	729578	WIG
File	GSM2746608_786_sh1_ARID2_treat_pileup_output.bw	08/14/2017 12:07:51	203548474	BW
File	GSM2746609_786_sh2_ARID2_SICER_peaks.wig.gz	08/18/2017 08:45:17	271789	WIG
File	GSM2746609_786_sh2_ARID2_treat_pileup_output.bw	08/14/2017 12:23:02	196414327	BW
File	GSM2746610_786_control_ARID2_control_pileup_output.bw	08/14/2017 11:54:02	287515622	BW
File	GSM2746611_786_sh1_ARID2_control_pileup_output.bw	08/14/2017 12:07:41	267777368	BW
File	GSM2746612_786_sh2_ARID2_control_pileup_output.bw	08/14/2017 12:22:52	250754553	BW
