#Archive/File	Name	Time	Size	Type
Archive	GSE83968_RAW.tar	02/15/2017 12:46:16	5035970560	TAR
File	GSM2224581_HCT116_H3K27ac_normalized.bw	06/30/2016 17:55:16	121186231	BW
File	GSM2224582_LoVo_H3K27ac_normalized.bw	06/30/2016 19:49:55	116827673	BW
File	GSM2224583_SNU175_TFAP4_normalized.bw	06/30/2016 20:48:04	190287964	BW
File	GSM2224584_COLO320_TFAP4_normalized.bw	06/30/2016 17:50:46	198959840	BW
File	GSM2224585_SNU175_ELF1_normalized.bw	06/30/2016 20:35:35	211902141	BW
File	GSM2224586_COLO320_ELF1_normalized.bw	06/30/2016 17:38:25	217356731	BW
File	GSM2224587_KI_CaCo2_DNaseI_rmdup_normalized.bw	06/30/2016 18:08:59	206334784	BW
File	GSM2224588_KI_COLO205_DNaseI_rmdup_normalized.bw	06/30/2016 18:19:28	167052658	BW
File	GSM2224589_KI_GP5d_DNaseI_rmdup_normalized.bw	06/30/2016 18:22:08	182315613	BW
File	GSM2224590_KI_HT-29_DNaseI_rmdup_normalized.bw	06/30/2016 18:37:54	168883261	BW
File	GSM2224591_KI_HUTU80_DNaseI_rmdup_normalized.bw	06/30/2016 18:48:28	177846156	BW
File	GSM2224592_KI_RKO_DNaseI_rmdup_normalized.bw	06/30/2016 18:59:19	177891220	BW
File	GSM2224593_KI_SK-CO-1_DNaseI_rmdup_normalized.bw	06/30/2016 19:11:42	168166608	BW
File	GSM2224594_KI_SW480_DNaseI_rmdup_normalized.bw	06/30/2016 19:30:40	177449081	BW
File	GSM2224595_KI_SW1116_DNaseI_rmdup_normalized.bw	06/30/2016 19:12:01	168172136	BW
File	GSM2224596_KI_T-84_DNaseI_rmdup_normalized.bw	06/30/2016 19:33:11	168135350	BW
File	GSM2224597_RU_LoVo_DNase_rmdup_normalized.bw	06/30/2016 20:04:29	143325600	BW
File	GSM2224598_SNU175-ATAC-seq-SEQ007_rmdup.bw	06/30/2016 20:33:48	434284975	BW
File	GSM2224599_COLO320-ATAC-seq-SEQ012_rmdup.bw	06/30/2016 17:10:47	842450703	BW
File	GSM2224600_COLO320-GG-ATAC_normalized.bw	06/30/2016 17:20:19	253870511	BW
File	GSM2224601_COLO320-GA-ATAC_normalized.bw	06/30/2016 17:09:46	260651552	BW
File	GSM2224602_COLO320-AA-ATAC_normalized.bw	06/30/2016 16:45:17	260931321	BW
File	GSM2224603_COLO320_rs1800734_GG_rep1.RPMs.bedGraph.gz	06/30/2016 17:38:45	4127105	BEDGRAPH
File	GSM2224604_COLO320_rs1800734_GG_rep2.RPMs.bedGraph.gz	06/30/2016 17:38:47	2367489	BEDGRAPH
File	GSM2224605_COLO320_rs1800734_GA_rep1.RPMs.bedGraph.gz	06/30/2016 17:38:34	3642088	BEDGRAPH
File	GSM2224606_COLO320_rs1800734_GA_rep2.RPMs.bedGraph.gz	06/30/2016 17:38:36	2968750	BEDGRAPH
File	GSM2224607_COLO320_rs1800734_AA_rep1.RPMs.bedGraph.gz	06/30/2016 17:38:29	4484394	BEDGRAPH
File	GSM2224608_COLO320_rs1800734_AA_rep2.RPMs.bedGraph.gz	06/30/2016 17:38:32	3392064	BEDGRAPH
File	GSM2224609_SNU175_rs1800734_rtPCR.bw	06/30/2016 20:35:43	74697	BW
File	GSM2224610_COLO320_rs1800734_rtPCR.bw	06/30/2016 17:38:47	62326	BW
File	GSM2224611_SNU175_rs35149869_rtPCR.bw	06/30/2016 20:35:54	32850	BW
File	GSM2224612_COLO320_rs35149869_rtPCR.bw	06/30/2016 17:38:59	72158	BW
File	GSM2224613_SNU175_rs1800734_Genomic.bw	06/30/2016 20:35:37	52320	BW
File	GSM2224614_COLO320_rs1800734_Genomic.bw	06/30/2016 17:38:37	54704	BW
File	GSM2224615_SNU175_rs35149869_Genomic.bw	06/30/2016 20:35:47	88909	BW
File	GSM2224616_COLO320_rs35149869_Genomic.bw	06/30/2016 17:38:53	36864	BW
File	GSM2224617_COLO320_GG_DCLK3_normalized.bw	06/30/2016 17:38:26	63090	BW
File	GSM2224618_COLO320_GA_DCLK3_normalized.bw	06/30/2016 17:38:25	58642	BW
File	GSM2224619_COLO320_AA_DCLK3_normalized.bw	06/30/2016 17:35:48	70138	BW
