#Archive/File	Name	Time	Size	Type
Archive	GSE124229_RAW.tar	03/31/2021 13:32:39	54644510720	TAR
File	GSM3526038_Sample_ATAC_SD_PT12_1_03282016.bigWig	12/20/2018 00:20:22	701042391	BIGWIG
File	GSM3526039_Sample_ATAC_SD_PT12_2_03282016.bigWig	12/20/2018 00:40:34	699599435	BIGWIG
File	GSM3526040_Sample_ATAC_SD_PT13_1_03282016.bigWig	12/20/2018 00:09:40	386207574	BIGWIG
File	GSM3526041_Sample_ATAC_SD_PT13_2_03282016.bigWig	12/20/2018 00:49:08	517431391	BIGWIG
File	GSM3526042_Sample_ATAC_SD_PT14_1_03282016.bigWig	12/19/2018 23:54:42	960718110	BIGWIG
File	GSM3526043_Sample_ATAC_SD_PT14_2_03282016.bigWig	12/20/2018 00:34:47	958695846	BIGWIG
File	GSM3526044_Sample_ATAC_SD_PT16_1_03282016.bigWig	12/20/2018 00:06:09	377321197	BIGWIG
File	GSM3526045_Sample_ATAC_SD_PT16_2_03282016.bigWig	12/20/2018 00:38:53	247799703	BIGWIG
File	GSM3526046_Sample_ATAC_SD_PT17_1_03282016.bigWig	12/20/2018 00:18:59	617510263	BIGWIG
File	GSM3526047_Sample_ATAC_SD_PT17_2_03282016.bigWig	12/20/2018 00:35:09	614839286	BIGWIG
File	GSM3526048_Sample_ATAC_SD_PT18_1_03282016.bigWig	12/20/2018 00:49:49	1053058084	BIGWIG
File	GSM3526049_Sample_ATAC_SD_PT18_2_03282016.bigWig	12/20/2018 00:08:10	1028064576	BIGWIG
File	GSM3526050_Sample_ATAC_SD_PT20_1_03282016.bigWig	12/20/2018 00:00:56	1170220584	BIGWIG
File	GSM3526051_Sample_ATAC_SD_PT20_2_03282016.bigWig	12/20/2018 00:36:51	1151004809	BIGWIG
File	GSM3526052_Sample_ATAC_SD_PT21_1_03282016.bigWig	12/19/2018 23:56:15	605136276	BIGWIG
File	GSM3526053_Sample_ATAC_SD_PT21_2_03282016.bigWig	12/20/2018 00:20:45	522246543	BIGWIG
File	GSM3526054_Sample_ATAC_SD_PT23_1_08082016.bigWig	12/20/2018 00:47:44	260000390	BIGWIG
File	GSM3526055_Sample_ATAC_SD_PT23_2_08082016.bigWig	12/20/2018 00:12:29	828510692	BIGWIG
File	GSM3526056_Sample_ATAC_SD_PT24_1_08082016.bigWig	12/20/2018 00:31:08	849341325	BIGWIG
File	GSM3526057_Sample_ATAC_SD_PT24_2_08082016.bigWig	12/19/2018 23:49:27	404164203	BIGWIG
File	GSM3526058_Sample_ATAC_SD_PT26_1_08082016.bigWig	12/20/2018 00:50:24	1234044896	BIGWIG
File	GSM3526059_Sample_ATAC_SD_PT26_2_08082016.bigWig	12/20/2018 00:14:35	1236313564	BIGWIG
