#Archive/File	Name	Time	Size	Type
Archive	GSE109398_RAW.tar	11/14/2019 13:25:40	26643824640	TAR
File	GSM2942242_G361_peaks.narrowPeak.gz	01/18/2018 18:51:56	3465697	NARROWPEAK
File	GSM2942242_G361_sortedFE.bedgraph.gz	01/18/2018 19:20:48	2798632966	BEDGRAPH
File	GSM2942243_G411_peaks.narrowPeak.gz	01/18/2018 19:20:49	1459662	NARROWPEAK
File	GSM2942243_G411_sortedFE.bedgraph.gz	01/18/2018 19:28:07	697521086	BEDGRAPH
File	GSM2942244_G489_peaks.narrowPeak.gz	01/18/2018 19:28:08	1178667	NARROWPEAK
File	GSM2942244_G489_sortedFE.bedgraph.gz	01/18/2018 19:36:45	819372335	BEDGRAPH
File	GSM2942245_G498_peaks.narrowPeak.gz	01/18/2018 19:36:46	1946340	NARROWPEAK
File	GSM2942245_G498_sortedFE.bedgraph.gz	01/18/2018 19:44:51	772928705	BEDGRAPH
File	GSM2942246_G523_peaks.narrowPeak.gz	01/18/2018 19:44:52	2581814	NARROWPEAK
File	GSM2942246_G523_sortedFE.bedgraph.gz	01/18/2018 19:57:09	1181425367	BEDGRAPH
File	GSM2942247_G549_peaks.narrowPeak.gz	01/18/2018 19:57:10	1276331	NARROWPEAK
File	GSM2942247_G549_sortedFE.bedgraph.gz	01/18/2018 20:01:27	403806498	BEDGRAPH
File	GSM2942248_G551_peaks.narrowPeak.gz	01/18/2018 20:01:28	1830392	NARROWPEAK
File	GSM2942248_G551_sortedFE.bedgraph.gz	01/18/2018 20:09:01	718030691	BEDGRAPH
File	GSM2942249_G564_peaks.narrowPeak.gz	01/18/2018 20:09:02	1050978	NARROWPEAK
File	GSM2942249_G564_sortedFE.bedgraph.gz	01/18/2018 20:11:06	194861415	BEDGRAPH
File	GSM2942250_G566_peaks.narrowPeak.gz	01/18/2018 19:09:02	2528711	NARROWPEAK
File	GSM2942250_G566_sortedFE.bedgraph.gz	01/18/2018 19:15:05	618698428	BEDGRAPH
File	GSM2942251_G567_peaks.narrowPeak.gz	01/18/2018 19:15:06	1519831	NARROWPEAK
File	GSM2942251_G567_sortedFE.bedgraph.gz	01/18/2018 19:20:37	557655659	BEDGRAPH
File	GSM2942252_G571_peaks.narrowPeak.gz	01/18/2018 19:20:37	462700	NARROWPEAK
File	GSM2942252_G571_sortedFE.bedgraph.gz	01/18/2018 19:25:01	442318530	BEDGRAPH
File	GSM2942253_G577_peaks.narrowPeak.gz	01/18/2018 19:25:03	2486064	NARROWPEAK
File	GSM2942253_G577_sortedFE.bedgraph.gz	01/18/2018 19:27:59	299423595	BEDGRAPH
File	GSM2942254_G583_peaks.narrowPeak.gz	01/18/2018 19:28:00	1158541	NARROWPEAK
File	GSM2942254_G583_sortedFE.bedgraph.gz	01/18/2018 19:34:54	705510377	BEDGRAPH
File	GSM2942255_G584_peaks.narrowPeak.gz	01/18/2018 19:34:55	1064297	NARROWPEAK
File	GSM2942255_G584_sortedFE.bedgraph.gz	01/18/2018 19:37:33	265494014	BEDGRAPH
File	GSM2942256_G594_peaks.narrowPeak.gz	01/18/2018 19:37:34	1034386	NARROWPEAK
File	GSM2942256_G594_sortedFE.bedgraph.gz	01/18/2018 19:40:48	328249600	BEDGRAPH
File	GSM2942257_G613_peaks.narrowPeak.gz	01/18/2018 19:40:48	1353907	NARROWPEAK
