#Archive/File	Name	Time	Size	Type
Archive	GSE128744_RAW.tar	05/13/2019 17:05:36	12298240	TAR
File	GSM3684338_DIPGVI-P14_ATAC-Seq_peaks.narrowPeak.gz	03/22/2019 18:10:02	880003	NARROWPEAK
File	GSM3684339_DIPGVI-P15_ATAC-Seq_peaks.narrowPeak.gz	03/22/2019 18:10:03	646331	NARROWPEAK
File	GSM3684340_DIPGVI-P16_ATAC-Seq_peaks.narrowPeak.gz	03/22/2019 18:10:03	746349	NARROWPEAK
File	GSM3684341_DIPGXIII-KO-C10P10_ATAC-Seq_peaks.narrowPeak.gz	03/22/2019 18:10:04	859439	NARROWPEAK
File	GSM3684342_DIPGXIII-KO-C10P5_ATAC-Seq_peaks.narrowPeak.gz	03/22/2019 18:10:05	1185674	NARROWPEAK
File	GSM3684343_DIPGXIII-KO-C5P8_ATAC-Seq_peaks.narrowPeak.gz	03/22/2019 18:10:05	871662	NARROWPEAK
File	GSM3684344_DIPGXIII-P15_ATAC-Seq_peaks.narrowPeak.gz	03/22/2019 18:10:05	385070	NARROWPEAK
File	GSM3684345_DIPGXIII-P17_ATAC-Seq_peaks.narrowPeak.gz	03/22/2019 18:10:06	625994	NARROWPEAK
File	GSM3684346_DIPGXIII-P18_ATAC-Seq_peaks.narrowPeak.gz	03/22/2019 18:10:06	663103	NARROWPEAK
File	GSM3684347_pcGBM2-P15_ATAC-Seq_peaks.narrowPeak.gz	03/22/2019 18:10:07	1143312	NARROWPEAK
File	GSM3684348_G477-P14_ATAC-Seq_peaks.narrowPeak.gz	03/22/2019 18:10:07	1763418	NARROWPEAK
File	GSM3684349_G477-LPG_ATAC-Seq_peaks.narrowPeak.gz	03/22/2019 18:10:08	2514327	NARROWPEAK
