#Archive/File	Name	Time	Size	Type
Archive	GSE102804_RAW.tar	08/14/2018 10:59:18	4324055040	TAR
File	GSM2746613_786_control_H3K4me3_SPMR_q05_peaks.narrowPeak.gz	08/18/2017 08:48:08	669204	NARROWPEAK
File	GSM2746613_786_control_H3K4me3_SPMR_q05_treat_output.bw	08/14/2017 12:00:31	60104991	BW
File	GSM2746614_786_sh1_H3K4me3_SPMR_q05_peaks.narrowPeak.gz	08/18/2017 08:48:08	1037305	NARROWPEAK
File	GSM2746614_786_sh1_H3K4me3_SPMR_q05_treat_output.bw	08/14/2017 12:17:00	323608668	BW
File	GSM2746615_786_sh2_H3K4me3_SPMR_q05_peaks.narrowPeak.gz	08/18/2017 08:48:08	821625	NARROWPEAK
File	GSM2746615_786_sh2_H3K4me3_SPMR_q05_treat_output.bw	08/14/2017 12:31:11	201359915	BW
File	GSM2746616_786_control_H3K4me1-SPMR-q05_peaks.narrowPeak.gz	08/18/2017 08:48:09	4357653	NARROWPEAK
File	GSM2746616_786_control_H3K4me1_SPMR_q05_treat_output.bw	08/14/2017 12:00:11	194148441	BW
File	GSM2746617_786_sh1_H3K4me1-SPMR-q05_peaks.narrowPeak.gz	08/18/2017 08:48:10	4873612	NARROWPEAK
File	GSM2746617_786_sh1_H3K4me1_SPMR_q05_treat_output.bw	08/14/2017 12:14:58	310925958	BW
File	GSM2746618_786_sh2_H3K4me1-SPMR-q05_peaks.narrowPeak.gz	08/18/2017 08:48:11	3939105	NARROWPEAK
File	GSM2746618_786_sh2_H3K4me1_SPMR_q05_treat_ouput.bw	08/14/2017 12:30:20	252659752	BW
File	GSM2746619_786_control_H3K27ac-SPMR-q05_peaks.narrowPeak.gz	08/18/2017 08:48:11	755993	NARROWPEAK
File	GSM2746619_786_control_H3K27ac_SPMR_q05_treat_output.bw	08/14/2017 11:59:08	192965579	BW
File	GSM2746620_786_sh1_H3K27ac-SPMR-q05_peaks.narrowPeak.gz	08/18/2017 08:48:11	324575	NARROWPEAK
File	GSM2746620_786_sh1_H3K27ac_SPMR_q05_treat_output.bw	08/14/2017 12:14:07	308712401	BW
File	GSM2746621_786_sh2_H3K27ac_SPMR_q05_peaks.narrowPeak.gz	08/18/2017 08:48:12	855445	NARROWPEAK
File	GSM2746621_786_sh2_H3K27ac_SPMR_q05_treat_output.bw	08/14/2017 12:29:14	293326889	BW
File	GSM2746622_786_control_H3K9ac_SPMR_q05_peaks.narrowPeak.gz	08/18/2017 08:48:12	1426131	NARROWPEAK
File	GSM2746622_786_control_H3K9ac_SPMR_q05_treat_output.bw	08/14/2017 12:00:51	283441698	BW
File	GSM2746623_786_sh1_H3K9ac_SPMR_q05_peaks.narrowPeak.gz	08/18/2017 08:48:12	506355	NARROWPEAK
File	GSM2746623_786_sh1_H3K9ac_SPMR_q05_treat_output.bw	08/14/2017 12:17:16	229497078	BW
File	GSM2746624_786_sh2_H3K9ac_SPMR_q05_peaks.narrowPeak.gz	08/18/2017 08:48:12	1163399	NARROWPEAK
File	GSM2746624_786_sh2_H3K9ac_SPMR_q05_treat_output.bw	08/14/2017 12:32:03	277400182	BW
File	GSM2746625_786_control_INPUT_histone_pileup_output.bw	08/14/2017 12:06:04	473480606	BW
File	GSM2746626_786_sh1_INPUT_histone_pileup_output.bw	08/14/2017 12:21:01	461716382	BW
File	GSM2746627_786_sh2_INPUT_histone_pileup_output.bw	08/14/2017 12:35:54	439953415	BW
