#Archive/File	Name	Time	Size	Type
Archive	GSE131915_RAW.tar	05/06/2020 14:35:33	636641280	TAR
File	GSM3828516_20339_open_area.bw	05/24/2019 16:44:21	81609803	BW
File	GSM3828517_20340_open_area.bw	05/24/2019 16:44:11	85614619	BW
File	GSM3828518_20341_open_area.bw	05/24/2019 16:44:28	77644553	BW
File	GSM3828519_20342_open_area.bw	05/24/2019 16:44:48	92146029	BW
File	GSM3828520_20343_open_area.bw	05/24/2019 16:44:59	104408053	BW
File	GSM3828521_20344_open_area.bw	05/24/2019 16:45:45	81247304	BW
File	GSM3828522_20345_open_area.bw	05/24/2019 16:45:13	66222111	BW
File	GSM3828523_20346_open_area.bw	05/24/2019 16:45:23	47732744	BW
